Gender;Continent;Country;Sport;1_N_Total_Teams;1_N_Teams_Animals
Men;Oceania;French Polynesia;Cricket;NA;NA
Men;Oceania;Fiji;Cricket;NA;NA
Men;Oceania;Solomon Island;Cricket;NA;NA
Men;Oceania;Northern Mariana Islands;Cricket;NA;NA
Men;Oceania;Vanuatu;Cricket;NA;NA
Men;Africa;Nigeria;Rugby XV;NA;NA
Men;Africa;Egypt;Rugby XV;NA;NA
Men;Africa;South Africa;Rugby XV;14;11
Men;Africa;Algeria;Rugby XV;NA;NA
Men;Africa;Morocco;Rugby XV;NA;NA
Men;Africa;Angola;Rugby XV;NA;NA
Men;Africa;Kenya;Rugby XV;NA;NA
Men;Africa;Ethiopia;Rugby XV;NA;NA
Men;Africa;Tanzania, United Republic of;Rugby XV;NA;NA
Men;Africa;Ghana;Rugby XV;NA;NA
Men;Americas;United States;Rugby XV;13;4
Men;Americas;Canada;Rugby XV;NA;NA
Men;Americas;Brazil;Rugby XV;1;1
Men;Americas;Mexico;Rugby XV;NA;NA
Men;Americas;Argentina;Rugby XV;2;2
Men;Americas;Colombia;Rugby XV;NA;NA
Men;Americas;Chile;Rugby XV;NA;NA
Men;Americas;Peru;Rugby XV;NA;NA
Men;Americas;Puerto Rico;Rugby XV;NA;NA
Men;Americas;Ecuador;Rugby XV;NA;NA
Men;Asia;China;Rugby XV;NA;NA
Men;Asia;Japan;Rugby XV;12;5
Men;Asia;India;Rugby XV;NA;NA
Men;Asia;Iran, Islamic Republic of;Rugby XV;NA;NA
Men;Asia;Korea, Republic of;Rugby XV;NA;NA
Men;Asia;Indonesia;Rugby XV;NA;NA
Men;Asia;Saudi Arabia;Rugby XV;NA;NA
Men;Asia;Turkey;Rugby XV;NA;NA
Men;Asia;Thailand;Rugby XV;NA;NA
Men;Asia;Israel;Rugby XV;NA;NA
Men;Europe;Germany;Rugby XV;NA;NA
Men;Europe;United Kingdom;Rugby XV;18;6
Men;Europe;France;Rugby XV;14;2
Men;Europe;Russian Federation;Rugby XV;8;2
Men;Europe;Italy;Rugby XV;10;6
Men;Europe;Spain;Rugby XV;12;5
Men;Europe;Netherlands;Rugby XV;NA;NA
Men;Europe;Switzerland;Rugby XV;NA;NA
Men;Europe;Poland;Rugby XV;NA;NA
Men;Europe;Sweden;Rugby XV;NA;NA
Men;Oceania;Australia;Rugby XV;5;3
Men;Oceania;New Zealand;Rugby XV;5;0
Men;Oceania;Papua New Guinea;Rugby XV;NA;NA
Men;Oceania;New Caledonia;Rugby XV;NA;NA
Men;Oceania;Guam;Rugby XV;NA;NA
Men;Oceania;French Polynesia;Rugby XV;NA;NA
Men;Oceania;Fiji;Rugby XV;1;0
Men;Oceania;Solomon Island;Rugby XV;NA;NA
Men;Oceania;Northern Mariana Islands;Rugby XV;NA;NA
Men;Oceania;Vanuatu;Rugby XV;NA;NA
Men;Africa;Nigeria;Rugby XIII;NA;NA
Men;Africa;Egypt;Rugby XIII;NA;NA
Men;Africa;South Africa;Rugby XIII;NA;NA
Men;Africa;Algeria;Rugby XIII;NA;NA
Men;Africa;Morocco;Rugby XIII;NA;NA
Men;Africa;Angola;Rugby XIII;NA;NA
Men;Africa;Kenya;Rugby XIII;NA;NA
Men;Africa;Ethiopia;Rugby XIII;NA;NA
Men;Africa;Tanzania, United Republic of;Rugby XIII;NA;NA
Men;Africa;Ghana;Rugby XIII;NA;NA
Men;Americas;United States;Rugby XIII;NA;NA
Men;Americas;Canada;Rugby XIII;NA;NA
Men;Americas;Brazil;Rugby XIII;NA;NA
Men;Americas;Mexico;Rugby XIII;NA;NA
Men;Americas;Argentina;Rugby XIII;NA;NA
Men;Americas;Colombia;Rugby XIII;NA;NA
Men;Americas;Chile;Rugby XIII;NA;NA
Men;Americas;Peru;Rugby XIII;NA;NA
